date,store,item,category,price,base_price,promo,units_sold
2024-02-12,Store_A,Milk_1L,Dairy,49.7,50.0,0,122
2024-02-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,131
2024-02-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,141
2024-02-15,Store_A,Milk_1L,Dairy,56.03,50.0,1,146
2024-02-16,Store_A,Milk_1L,Dairy,49.71,50.0,0,210
2024-02-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,223
2024-02-18,Store_A,Milk_1L,Dairy,50.0,50.0,1,269
2024-02-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,137
2024-02-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,125
2024-02-21,Store_A,Milk_1L,Dairy,40.79,50.0,0,181
2024-02-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,149
2024-02-23,Store_A,Milk_1L,Dairy,50.0,50.0,0,180
2024-02-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,213
2024-02-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,189
2024-02-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,151
2024-02-27,Store_A,Milk_1L,Dairy,53.07,50.0,0,120
2024-02-28,Store_A,Milk_1L,Dairy,50.0,50.0,1,167
2024-02-29,Store_A,Milk_1L,Dairy,54.54,50.0,0,124
2024-03-01,Store_A,Milk_1L,Dairy,50.49,50.0,0,159
2024-03-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,219
2024-03-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,185
2024-03-04,Store_A,Milk_1L,Dairy,40.24,50.0,0,228
2024-03-05,Store_A,Milk_1L,Dairy,51.86,50.0,1,138
2024-03-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,129
2024-03-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,136
2024-03-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,189
2024-03-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,208
2024-03-10,Store_A,Milk_1L,Dairy,56.23,50.0,0,143
2024-03-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,149
2024-03-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,144
2024-03-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,130
2024-03-14,Store_A,Milk_1L,Dairy,49.72,50.0,0,149
2024-03-15,Store_A,Milk_1L,Dairy,42.46,50.0,0,240
2024-03-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,237
2024-03-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,179
2024-03-18,Store_A,Milk_1L,Dairy,50.0,50.0,0,131
2024-03-19,Store_A,Milk_1L,Dairy,41.91,50.0,0,167
2024-03-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,113
2024-03-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,132
2024-03-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,205
2024-03-23,Store_A,Milk_1L,Dairy,50.0,50.0,0,190
2024-03-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,156
2024-03-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,159
2024-03-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,117
2024-03-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,167
2024-03-28,Store_A,Milk_1L,Dairy,50.4,50.0,0,145
2024-03-29,Store_A,Milk_1L,Dairy,50.0,50.0,1,215
2024-03-30,Store_A,Milk_1L,Dairy,56.12,50.0,0,170
2024-03-31,Store_A,Milk_1L,Dairy,50.0,50.0,0,178
2024-04-01,Store_A,Milk_1L,Dairy,40.37,50.0,0,194
2024-04-02,Store_A,Milk_1L,Dairy,40.93,50.0,0,189
2024-04-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,136
2024-04-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,142
2024-04-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,161
2024-04-06,Store_A,Milk_1L,Dairy,43.18,50.0,0,320
2024-04-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,201
2024-04-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,125
2024-04-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,128
2024-04-10,Store_A,Milk_1L,Dairy,54.59,50.0,0,116
2024-04-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,121
2024-04-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,176
2024-04-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,191
2024-04-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,177
2024-04-15,Store_A,Milk_1L,Dairy,50.0,50.0,0,131
2024-04-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,126
2024-04-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,105
2024-04-18,Store_A,Milk_1L,Dairy,50.0,50.0,0,141
2024-04-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,163
2024-04-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,201
2024-04-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,153
2024-04-22,Store_A,Milk_1L,Dairy,50.0,50.0,1,171
2024-04-23,Store_A,Milk_1L,Dairy,50.0,50.0,0,113
2024-04-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,144
2024-04-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,156
2024-04-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,171
2024-04-27,Store_A,Milk_1L,Dairy,50.0,50.0,1,271
2024-04-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,168
2024-04-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,122
2024-04-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,110
2024-05-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,127
2024-05-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,144
2024-05-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,173
2024-05-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,191
2024-05-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,163
2024-05-06,Store_A,Milk_1L,Dairy,50.0,50.0,1,181
2024-05-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,110
2024-05-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,115
2024-05-09,Store_A,Milk_1L,Dairy,50.78,50.0,0,123
2024-05-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,170
2024-05-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,194
2024-05-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,174
2024-05-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,105
2024-05-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,124
2024-05-15,Store_A,Milk_1L,Dairy,41.53,50.0,0,180
2024-05-16,Store_A,Milk_1L,Dairy,50.0,50.0,1,170
2024-05-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,174
2024-05-18,Store_A,Milk_1L,Dairy,50.0,50.0,0,191
2024-05-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,155
2024-05-20,Store_A,Milk_1L,Dairy,50.0,50.0,1,166
2024-05-21,Store_A,Milk_1L,Dairy,56.38,50.0,0,87
2024-05-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,139
2024-05-23,Store_A,Milk_1L,Dairy,50.0,50.0,0,122
2024-05-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,169
2024-05-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,205
2024-05-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,176
2024-05-27,Store_A,Milk_1L,Dairy,54.88,50.0,0,103
2024-05-28,Store_A,Milk_1L,Dairy,50.29,50.0,0,111
2024-05-29,Store_A,Milk_1L,Dairy,47.95,50.0,0,116
2024-05-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,113
2024-05-31,Store_A,Milk_1L,Dairy,50.0,50.0,0,162
2024-06-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,188
2024-06-02,Store_A,Milk_1L,Dairy,57.45,50.0,0,127
2024-06-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,127
2024-06-04,Store_A,Milk_1L,Dairy,57.48,50.0,0,85
2024-06-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,129
2024-06-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,134
2024-06-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,153
2024-06-08,Store_A,Milk_1L,Dairy,50.0,50.0,1,262
2024-06-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,168
2024-06-10,Store_A,Milk_1L,Dairy,40.1,50.0,0,192
2024-06-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,102
2024-06-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,98
2024-06-13,Store_A,Milk_1L,Dairy,54.02,50.0,0,108
2024-06-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,168
2024-06-15,Store_A,Milk_1L,Dairy,50.0,50.0,0,180
2024-06-16,Store_A,Milk_1L,Dairy,48.83,50.0,0,186
2024-06-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,112
2024-06-18,Store_A,Milk_1L,Dairy,52.86,50.0,0,95
2024-06-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,128
2024-06-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,113
2024-06-21,Store_A,Milk_1L,Dairy,50.79,50.0,0,155
2024-06-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,154
2024-06-23,Store_A,Milk_1L,Dairy,41.61,50.0,0,213
2024-06-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,114
2024-06-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,111
2024-06-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,123
2024-06-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,123
2024-06-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,166
2024-06-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,195
2024-06-30,Store_A,Milk_1L,Dairy,48.9,50.0,0,170
2024-07-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,139
2024-07-02,Store_A,Milk_1L,Dairy,44.87,50.0,0,149
2024-07-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,123
2024-07-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,129
2024-07-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,133
2024-07-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,163
2024-07-07,Store_A,Milk_1L,Dairy,47.32,50.0,0,203
2024-07-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,110
2024-07-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,109
2024-07-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,121
2024-07-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,123
2024-07-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,139
2024-07-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,217
2024-07-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,178
2024-07-15,Store_A,Milk_1L,Dairy,50.0,50.0,1,169
2024-07-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,112
2024-07-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,124
2024-07-18,Store_A,Milk_1L,Dairy,50.0,50.0,0,133
2024-07-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,158
2024-07-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,187
2024-07-21,Store_A,Milk_1L,Dairy,45.49,50.0,0,162
2024-07-22,Store_A,Milk_1L,Dairy,54.48,50.0,0,91
2024-07-23,Store_A,Milk_1L,Dairy,50.0,50.0,0,122
2024-07-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,106
2024-07-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,122
2024-07-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,160
2024-07-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,188
2024-07-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,158
2024-07-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,120
2024-07-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,118
2024-07-31,Store_A,Milk_1L,Dairy,42.9,50.0,0,172
2024-08-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,118
2024-08-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,172
2024-08-03,Store_A,Milk_1L,Dairy,47.84,50.0,0,191
2024-08-04,Store_A,Milk_1L,Dairy,53.22,50.0,0,149
2024-08-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,119
2024-08-06,Store_A,Milk_1L,Dairy,55.87,50.0,0,98
2024-08-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,129
2024-08-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,142
2024-08-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,147
2024-08-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,173
2024-08-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,162
2024-08-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,122
2024-08-13,Store_A,Milk_1L,Dairy,46.42,50.0,0,142
2024-08-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,128
2024-08-15,Store_A,Milk_1L,Dairy,50.0,50.0,0,135
2024-08-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,158
2024-08-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,176
2024-08-18,Store_A,Milk_1L,Dairy,50.0,50.0,0,150
2024-08-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,120
2024-08-20,Store_A,Milk_1L,Dairy,46.97,50.0,0,137
2024-08-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,118
2024-08-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,141
2024-08-23,Store_A,Milk_1L,Dairy,56.23,50.0,0,137
2024-08-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,169
2024-08-25,Store_A,Milk_1L,Dairy,44.87,50.0,0,192
2024-08-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,113
2024-08-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,133
2024-08-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,132
2024-08-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,123
2024-08-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,151
2024-08-31,Store_A,Milk_1L,Dairy,52.82,50.0,0,159
2024-09-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,176
2024-09-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,117
2024-09-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,141
2024-09-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,126
2024-09-05,Store_A,Milk_1L,Dairy,40.72,50.0,0,194
2024-09-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,179
2024-09-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,170
2024-09-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,168
2024-09-09,Store_A,Milk_1L,Dairy,49.72,50.0,0,127
2024-09-10,Store_A,Milk_1L,Dairy,50.0,50.0,1,180
2024-09-11,Store_A,Milk_1L,Dairy,46.52,50.0,0,159
2024-09-12,Store_A,Milk_1L,Dairy,51.82,50.0,0,117
2024-09-13,Store_A,Milk_1L,Dairy,50.0,50.0,1,217
2024-09-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,214
2024-09-15,Store_A,Milk_1L,Dairy,44.1,50.0,0,252
2024-09-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,136
2024-09-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,122
2024-09-18,Store_A,Milk_1L,Dairy,47.02,50.0,0,147
2024-09-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,132
2024-09-20,Store_A,Milk_1L,Dairy,50.0,50.0,1,267
2024-09-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,200
2024-09-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,180
2024-09-23,Store_A,Milk_1L,Dairy,50.0,50.0,0,137
2024-09-24,Store_A,Milk_1L,Dairy,41.48,50.0,0,192
2024-09-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,147
2024-09-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,150
2024-09-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,177
2024-09-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,182
2024-09-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,183
2024-09-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,140
2024-10-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,172
2024-10-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,205
2024-10-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,215
2024-10-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,251
2024-10-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,303
2024-10-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,263
2024-10-07,Store_A,Milk_1L,Dairy,50.0,50.0,1,237
2024-10-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,200
2024-10-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,163
2024-10-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,222
2024-10-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,236
2024-10-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,319
2024-10-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,285
2024-10-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,215
2024-10-15,Store_A,Milk_1L,Dairy,50.0,50.0,0,210
2024-10-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,231
2024-10-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,214
2024-10-18,Store_A,Milk_1L,Dairy,49.84,50.0,0,304
2024-10-19,Store_A,Milk_1L,Dairy,50.0,50.0,1,415
2024-10-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,278
2024-10-21,Store_A,Milk_1L,Dairy,56.8,50.0,0,158
2024-10-22,Store_A,Milk_1L,Dairy,44.31,50.0,1,313
2024-10-23,Store_A,Milk_1L,Dairy,50.0,50.0,0,211
2024-10-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,223
2024-10-25,Store_A,Milk_1L,Dairy,46.73,50.0,0,338
2024-10-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,302
2024-10-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,285
2024-10-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,218
2024-10-29,Store_A,Milk_1L,Dairy,55.1,50.0,0,174
2024-10-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,198
2024-10-31,Store_A,Milk_1L,Dairy,50.0,50.0,0,246
2024-11-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,260
2024-11-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,363
2024-11-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,261
2024-11-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,250
2024-11-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,225
2024-11-06,Store_A,Milk_1L,Dairy,48.06,50.0,1,338
2024-11-07,Store_A,Milk_1L,Dairy,40.83,50.0,0,338
2024-11-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,293
2024-11-09,Store_A,Milk_1L,Dairy,40.55,50.0,0,432
2024-11-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,328
2024-11-11,Store_A,Milk_1L,Dairy,50.0,50.0,1,283
2024-11-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,218
2024-11-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,263
2024-11-14,Store_A,Milk_1L,Dairy,53.53,50.0,0,200
2024-11-15,Store_A,Milk_1L,Dairy,50.0,50.0,1,389
2024-11-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,405
2024-11-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,338
2024-11-18,Store_A,Milk_1L,Dairy,50.0,50.0,0,249
2024-11-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,229
2024-11-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,247
2024-11-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,261
2024-11-22,Store_A,Milk_1L,Dairy,46.06,50.0,0,352
2024-11-23,Store_A,Milk_1L,Dairy,52.69,50.0,0,366
2024-11-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,351
2024-11-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,264
2024-11-26,Store_A,Milk_1L,Dairy,42.52,50.0,0,275
2024-11-27,Store_A,Milk_1L,Dairy,48.88,50.0,0,223
2024-11-28,Store_A,Milk_1L,Dairy,40.29,50.0,0,427
2024-11-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,308
2024-11-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,363
2024-12-01,Store_A,Milk_1L,Dairy,50.0,50.0,0,252
2024-12-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,195
2024-12-03,Store_A,Milk_1L,Dairy,50.0,50.0,1,276
2024-12-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,179
2024-12-05,Store_A,Milk_1L,Dairy,50.42,50.0,0,236
2024-12-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,269
2024-12-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,288
2024-12-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,290
2024-12-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,230
2024-12-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,180
2024-12-11,Store_A,Milk_1L,Dairy,50.0,50.0,1,292
2024-12-12,Store_A,Milk_1L,Dairy,53.93,50.0,0,200
2024-12-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,259
2024-12-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,310
2024-12-15,Store_A,Milk_1L,Dairy,50.0,50.0,0,292
2024-12-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,206
2024-12-17,Store_A,Milk_1L,Dairy,55.03,50.0,0,175
2024-12-18,Store_A,Milk_1L,Dairy,50.0,50.0,1,242
2024-12-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,228
2024-12-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,274
2024-12-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,256
2024-12-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,326
2024-12-23,Store_A,Milk_1L,Dairy,55.82,50.0,0,168
2024-12-24,Store_A,Milk_1L,Dairy,50.0,50.0,1,271
2024-12-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,250
2024-12-26,Store_A,Milk_1L,Dairy,57.14,50.0,1,246
2024-12-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,278
2024-12-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,339
2024-12-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,313
2024-12-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,237
2024-12-31,Store_A,Milk_1L,Dairy,50.0,50.0,0,200
2025-01-01,Store_A,Milk_1L,Dairy,46.6,50.0,0,213
2025-01-02,Store_A,Milk_1L,Dairy,42.85,50.0,0,265
2025-01-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,248
2025-01-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,245
2025-01-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,248
2025-01-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,198
2025-01-07,Store_A,Milk_1L,Dairy,49.14,50.0,0,172
2025-01-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,190
2025-01-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,208
2025-01-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,202
2025-01-11,Store_A,Milk_1L,Dairy,44.42,50.0,0,340
2025-01-12,Store_A,Milk_1L,Dairy,50.0,50.0,0,248
2025-01-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,201
2025-01-14,Store_A,Milk_1L,Dairy,50.0,50.0,0,160
2025-01-15,Store_A,Milk_1L,Dairy,42.41,50.0,0,277
2025-01-16,Store_A,Milk_1L,Dairy,50.0,50.0,1,214
2025-01-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,224
2025-01-18,Store_A,Milk_1L,Dairy,50.0,50.0,0,272
2025-01-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,244
2025-01-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,178
2025-01-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,184
